"CubeId";"zimoma"
"PublishingDate";"2025-05-02 14:30"

"Date";"D0";"Value"
"2010-01";"3M0";"0.25"
"2010-02";"3M0";"0.25"
"2010-03";"3M0";"0.24667"
"2010-04";"3M0";"0.24583"
"2010-05";"3M0";"0.10833"
"2010-06";"3M0";"0.11167"
"2010-07";"3M0";"0.17167"
"2010-08";"3M0";"0.165"
"2010-09";"3M0";"0.17833"
"2010-10";"3M0";"0.16833"
"2010-11";"3M0";"0.17167"
"2010-12";"3M0";"0.17"
"2011-01";"3M0";"0.17"
"2011-02";"3M0";"0.17"
"2011-03";"3M0";"0.18"
"2011-04";"3M0";"0.185"
"2011-05";"3M0";"0.17583"
"2011-06";"3M0";"0.175"
"2011-07";"3M0";"0.175"
"2011-08";"3M0";"0.005"
"2011-09";"3M0";"0.02333"
"2011-10";"3M0";"0.04333"
"2011-11";"3M0";"0.05167"
"2011-12";"3M0";"0.05167"
"2012-01";"3M0";"0.07"
"2012-02";"3M0";"0.08667"
"2012-03";"3M0";"0.11"
"2012-04";"3M0";"0.11167"
"2012-05";"3M0";"0.0975"
"2012-06";"3M0";"0.087"
"2012-07";"3M0";"0.06"
"2012-08";"3M0";"0.046"
"2012-09";"3M0";"0.044"
"2012-10";"3M0";"0.032"
"2012-11";"3M0";"0.03"
"2012-12";"3M0";"0.012"
"2013-01";"3M0";"0.022"
"2013-02";"3M0";"0.022"
"2013-03";"3M0";"0.022"
"2013-04";"3M0";"0.02"
"2013-05";"3M0";"0.016"
"2013-06";"3M0";"0.019"
"2013-07";"3M0";"0.018"
"2013-08";"3M0";"0.018"
"2013-09";"3M0";"0.022"
"2013-10";"3M0";"0.019"
"2013-11";"3M0";"0.015"
"2013-12";"3M0";"0.023"
"2014-01";"3M0";"0.018"
"2014-02";"3M0";"0.022"
"2014-03";"3M0";"0.022"
"2014-04";"3M0";"0.017"
"2014-05";"3M0";"0.012"
"2014-06";"3M0";"0.008"
"2014-07";"3M0";"0.018"
"2014-08";"3M0";"0.018"
"2014-09";"3M0";"0.006"
"2014-10";"3M0";"0.015"
"2014-11";"3M0";"0.001"
"2014-12";"3M0";"-0.063"
"2015-01";"3M0";"-0.854"
"2015-02";"3M0";"-0.85"
"2015-03";"3M0";"-0.814"
"2015-04";"3M0";"-0.794"
"2015-05";"3M0";"-0.788"
"2015-06";"3M0";"-0.789"
"2015-07";"3M0";"-0.739"
"2015-08";"3M0";"-0.724"
"2015-09";"3M0";"-0.733"
"2015-10";"3M0";"-0.732"
"2015-11";"3M0";"-0.832"
"2015-12";"3M0";"-0.756"
"2016-01";"3M0";"-0.757"
"2016-02";"3M0";"-0.8046"
"2016-03";"3M0";"-0.7292"
"2016-04";"3M0";"-0.7294"
"2016-05";"3M0";"-0.7352"
"2016-06";"3M0";"-0.7798"
"2016-07";"3M0";"-0.7476"
"2016-08";"3M0";"-0.7364"
"2016-09";"3M0";"-0.75"
"2016-10";"3M0";"-0.73"
"2016-11";"3M0";"-0.749"
"2016-12";"3M0";"-0.7292"
"2017-01";"3M0";"-0.7286"
"2017-02";"3M0";"-0.7262"
"2017-03";"3M0";"-0.7296"
"2017-04";"3M0";"-0.73"
"2017-05";"3M0";"-0.7296"
"2017-06";"3M0";"-0.73"
"2017-07";"3M0";"-0.7256"
"2017-08";"3M0";"-0.7262"
"2017-09";"3M0";"-0.726"
"2017-10";"3M0";"-0.7268"
"2017-11";"3M0";"-0.752"
"2017-12";"3M0";"-0.7462"
"2018-01";"3M0";"-0.745"
"2018-02";"3M0";"-0.7446"
"2018-03";"3M0";"-0.7354"
"2018-04";"3M0";"-0.7282"
"2018-05";"3M0";"-0.7348"
"2018-06";"3M0";"-0.7316"
"2018-07";"3M0";"-0.7278"
"2018-08";"3M0";"-0.7284"
"2018-09";"3M0";"-0.7358"
"2018-10";"3M0";"-0.7454"
"2018-11";"3M0";"-0.7382"
"2018-12";"3M0";"-0.7134"
"2019-01";"3M0";"-0.713"
"2019-02";"3M0";"-0.7156"
"2019-03";"3M0";"-0.7122"
"2019-04";"3M0";"-0.7138"
"2019-05";"3M0";"-0.713"
"2019-06";"3M0";"-0.7256"
"2019-07";"3M0";"-0.768"
"2019-08";"3M0";"-0.8554"
"2019-09";"3M0";"-0.7632"
"2019-10";"3M0";"-0.7594"
"2019-11";"3M0";"-0.7228"
"2019-12";"3M0";"-0.6884"
"2020-01";"3M0";"-0.69"
"2020-02";"3M0";"-0.7352"
"2020-03";"3M0";"-0.6554"
"2020-04";"3M0";"-0.5832"
"2020-05";"3M0";"-0.651"
"2020-06";"3M0";"-0.676"
"2020-07";"3M0";"-0.7048"
"2020-08";"3M0";"-0.7204"
"2020-09";"3M0";"-0.7806"
"2020-10";"3M0";"-0.7666"
"2020-11";"3M0";"-0.784"
"2020-12";"3M0";"-0.7638"
"2021-01";"3M0";"-0.7614"
"2021-02";"3M0";"-0.7456"
"2021-03";"3M0";"-0.754"
"2021-04";"3M0";"-0.7458"
"2021-05";"3M0";"-0.7436"
"2021-06";"3M0";"-0.7536"
"2021-07";"3M0";"-0.7594"
"2021-08";"3M0";"-0.7704"
"2021-09";"3M0";"-0.7624"
"2021-10";"3M0";"-0.7708"
"2021-11";"3M0";"-0.7836"
"2021-12";"3M0";"-0.753"
"2022-01";"3M0";
"2022-02";"3M0";
"2022-03";"3M0";
"2022-04";"3M0";
"2022-05";"3M0";
"2022-06";"3M0";
"2022-07";"3M0";
"2022-08";"3M0";
"2022-09";"3M0";
"2022-10";"3M0";
"2022-11";"3M0";
"2022-12";"3M0";
"2023-01";"3M0";
"2023-02";"3M0";
"2023-03";"3M0";
"2023-04";"3M0";
"2023-05";"3M0";
"2023-06";"3M0";
"2023-07";"3M0";
"2023-08";"3M0";
"2023-09";"3M0";
"2023-10";"3M0";
"2023-11";"3M0";
"2023-12";"3M0";
"2024-01";"3M0";
"2024-02";"3M0";
"2024-03";"3M0";
"2024-04";"3M0";
"2024-05";"3M0";
"2024-06";"3M0";
"2024-07";"3M0";
"2024-08";"3M0";
"2024-09";"3M0";
"2024-10";"3M0";
"2024-11";"3M0";
"2024-12";"3M0";
"2025-01";"3M0";
"2025-02";"3M0";
"2025-03";"3M0";
"2025-04";"3M0";
