"DATE","TIME PERIOD","Japanese Yen 3-month British Bankers` Association (BBA) Libor - Historical close, average of observations through period (FM.M.GB.JPY.RT.MM.JPY3MFSR_.HSTA)"
"1986-01-31","1986Jan","6.7472"
"1986-02-28","1986Feb","6.1266"
"1986-03-31","1986Mar","5.5938"
"1986-04-30","1986Apr","4.9261"
"1986-05-31","1986May","4.8281"
"1986-06-30","1986Jun","4.7969"
"1986-07-31","1986Jul","4.7459"
"1986-08-31","1986Aug","4.8617"
"1986-09-30","1986Sep","4.9546"
"1986-10-31","1986Oct","5.0034"
"1986-11-30","1986Nov","4.6899"
"1986-12-31","1986Dec","4.5387"
"1987-01-31","1987Jan","4.3237"
"1987-02-28","1987Feb","4.3086"
"1987-03-31","1987Mar","4.2976"
"1987-04-30","1987Apr","4.0766"
"1987-05-31","1987May","3.8725"
"1987-06-30","1987Jun","3.9531"
"1987-07-31","1987Jul","4.0999"
"1987-08-31","1987Aug","4.1024"
"1987-09-30","1987Sep","4.3594"
"1987-10-31","1987Oct","4.8700"
"1987-11-30","1987Nov","4.3757"
"1987-12-31","1987Dec","4.4955"
"1988-01-31","1988Jan","4.2656"
"1988-02-29","1988Feb","4.2597"
"1988-03-31","1988Mar","4.3512"
"1988-04-30","1988Apr","4.1127"
"1988-05-31","1988May","4.1883"
"1988-06-30","1988Jun","4.3658"
"1988-07-31","1988Jul","4.7687"
"1988-08-31","1988Aug","4.8807"
"1988-09-30","1988Sep","5.0625"
"1988-10-31","1988Oct","4.7040"
"1988-11-30","1988Nov","4.4929"
"1988-12-31","1988Dec","4.5656"
"1989-01-31","1989Jan","4.5982"
"1989-02-28","1989Feb","4.6633"
"1989-03-31","1989Mar","4.7805"
"1989-04-30","1989Apr","4.7086"
"1989-05-31","1989May","5.0283"
"1989-06-30","1989Jun","5.3516"
"1989-07-31","1989Jul","5.4598"
"1989-08-31","1989Aug","5.4567"
"1989-09-30","1989Sep","5.7031"
"1989-10-31","1989Oct","6.2486"
"1989-11-30","1989Nov","6.7614"
"1989-12-31","1989Dec","6.7582"
"1990-01-31","1990Jan","7.0462"
"1990-02-28","1990Feb","7.2352"
"1990-03-31","1990Mar","7.5788"
"1990-04-30","1990Apr","7.4474"
"1990-05-31","1990May","7.3772"
"1990-06-30","1990Jun","7.4368"
"1990-07-31","1990Jul","7.7159"
"1990-08-31","1990Aug","8.0220"
"1990-09-30","1990Sep","8.4047"
"1990-10-31","1990Oct","8.2935"
"1990-11-30","1990Nov","8.3956"
"1990-12-31","1990Dec","8.2788"
"1991-01-31","1991Jan","8.2173"
"1991-02-28","1991Feb","8.0695"
"1991-03-31","1991Mar","8.1719"
"1991-04-30","1991Apr","7.9814"
"1991-05-31","1991May","7.8333"
"1991-06-30","1991Jun","7.8266"
"1991-07-31","1991Jul","7.5564"
"1991-08-31","1991Aug","7.3490"
"1991-09-30","1991Sep","6.7500"
"1991-10-31","1991Oct","6.4565"
"1991-11-30","1991Nov","6.2269"
"1991-12-31","1991Dec","6.0375"
"1992-01-31","1992Jan","5.2564"
"1992-02-29","1992Feb","5.2492"
"1992-03-31","1992Mar","5.0078"
"1992-04-30","1992Apr","4.7445"
"1992-05-31","1992May","4.7500"
"1992-06-30","1992Jun","4.6222"
"1992-07-31","1992Jul","4.3784"
"1992-08-31","1992Aug","3.9727"
"1992-09-30","1992Sep","4.0199"
"1992-10-31","1992Oct","3.9020"
"1992-11-30","1992Nov","3.8192"
"1992-12-31","1992Dec","3.7939"
"1993-01-31","1993Jan","3.7156"
"1993-02-28","1993Feb","3.3344"
"1993-03-31","1993Mar","3.3268"
"1993-04-30","1993Apr","3.2531"
"1993-05-31","1993May","3.2730"
"1993-06-30","1993Jun","3.2614"
"1993-07-31","1993Jul","3.2557"
"1993-08-31","1993Aug","3.0603"
"1993-09-30","1993Sep","2.6669"
"1993-10-31","1993Oct","2.4799"
"1993-11-30","1993Nov","2.3551"
"1993-12-31","1993Dec","2.1019"
"1994-01-31","1994Jan","2.1945"
"1994-02-28","1994Feb","2.2633"
"1994-03-31","1994Mar","2.3417"
"1994-04-30","1994Apr","2.3125"
"1994-05-31","1994May","2.2301"
"1994-06-30","1994Jun","2.1719"
"1994-07-31","1994Jul","2.1935"
"1994-08-31","1994Aug","2.3329"
"1994-09-30","1994Sep","2.3757"
"1994-10-31","1994Oct","2.3854"
"1994-11-30","1994Nov","2.3750"
"1994-12-31","1994Dec","2.3807"
"1995-01-31","1995Jan","2.3643"
"1995-02-28","1995Feb","2.3211"
"1995-03-31","1995Mar","2.1634"
"1995-04-30","1995Apr","1.5594"
"1995-05-31","1995May","1.3560"
"1995-06-30","1995Jun","1.2017"
"1995-07-31","1995Jul","0.9576"
"1995-08-31","1995Aug","0.8685"
"1995-09-30","1995Sep","0.5729"
"1995-10-31","1995Oct","0.4389"
"1995-11-30","1995Nov","0.4766"
"1995-12-31","1995Dec","0.4609"
"1996-01-31","1996Jan","0.5313"
"1996-02-29","1996Feb","0.6358"
