"DATE","TIME PERIOD","US Dollar 3-month British Bankers` Association (BBA) Libor - Historical close, average of observations through period (FM.M.GB.USD.RT.MM.USD3MFSR_.HSTA)"
"1986-01-31","1986Jan","8.1591"
"1986-02-28","1986Feb","8.0156"
"1986-03-31","1986Mar","7.5691"
"1986-04-30","1986Apr","6.9363"
"1986-05-31","1986May","6.9953"
"1986-06-30","1986Jun","7.0640"
"1986-07-31","1986Jul","6.6644"
"1986-08-31","1986Aug","6.1969"
"1986-09-30","1986Sep","5.9972"
"1986-10-31","1986Oct","5.9993"
"1986-11-30","1986Nov","6.0859"
"1986-12-31","1986Dec","6.3824"
"1987-01-31","1987Jan","6.2165"
"1987-02-28","1987Feb","6.4453"
"1987-03-31","1987Mar","6.4943"
"1987-04-30","1987Apr","6.8695"
"1987-05-31","1987May","7.3651"
"1987-06-30","1987Jun","7.2386"
"1987-07-31","1987Jul","6.9926"
"1987-08-31","1987Aug","7.0406"
"1987-09-30","1987Sep","7.6321"
"1987-10-31","1987Oct","8.4176"
"1987-11-30","1987Nov","7.5327"
"1987-12-31","1987Dec","7.9762"
"1988-01-31","1988Jan","7.2281"
"1988-02-29","1988Feb","6.8415"
"1988-03-31","1988Mar","6.8573"
"1988-04-30","1988Apr","7.1990"
"1988-05-31","1988May","7.5156"
"1988-06-30","1988Jun","7.7358"
"1988-07-31","1988Jul","8.1979"
"1988-08-31","1988Aug","8.5888"
"1988-09-30","1988Sep","8.4240"
"1988-10-31","1988Oct","8.6287"
"1988-11-30","1988Nov","9.0227"
"1988-12-31","1988Dec","9.4156"
"1989-01-31","1989Jan","9.4018"
"1989-02-28","1989Feb","9.7375"
"1989-03-31","1989Mar","10.2976"
"1989-04-30","1989Apr","10.1711"
"1989-05-31","1989May","9.7686"
"1989-06-30","1989Jun","9.3970"
"1989-07-31","1989Jul","8.9732"
"1989-08-31","1989Aug","8.8239"
"1989-09-30","1989Sep","8.9732"
"1989-10-31","1989Oct","8.7955"
"1989-11-30","1989Nov","8.5455"
"1989-12-31","1989Dec","8.5099"
"1990-01-31","1990Jan","8.3494"
"1990-02-28","1990Feb","8.3656"
"1990-03-31","1990Mar","8.4915"
"1990-04-30","1990Apr","8.5699"
"1990-05-31","1990May","8.4754"
"1990-06-30","1990Jun","8.3519"
"1990-07-31","1990Jul","8.2209"
"1990-08-31","1990Aug","8.0909"
"1990-09-30","1990Sep","8.1875"
"1990-10-31","1990Oct","8.1692"
"1990-11-30","1990Nov","8.1648"
"1990-12-31","1990Dec","7.9219"
"1991-01-31","1991Jan","7.3374"
"1991-02-28","1991Feb","6.7125"
"1991-03-31","1991Mar","6.5688"
"1991-04-30","1991Apr","6.2232"
"1991-05-31","1991May","6.0595"
"1991-06-30","1991Jun","6.2063"
"1991-07-31","1991Jul","6.1386"
"1991-08-31","1991Aug","5.7708"
"1991-09-30","1991Sep","5.6190"
"1991-10-31","1991Oct","5.4701"
"1991-11-30","1991Nov","5.0714"
"1991-12-31","1991Dec","4.6063"
"1992-01-31","1992Jan","4.1815"
"1992-02-29","1992Feb","4.1750"
"1992-03-31","1992Mar","4.3860"
"1992-04-30","1992Apr","4.1703"
"1992-05-31","1992May","3.9601"
"1992-06-30","1992Jun","3.9943"
"1992-07-31","1992Jul","3.5170"
"1992-08-31","1992Aug","3.4500"
"1992-09-30","1992Sep","3.2837"
"1992-10-31","1992Oct","3.4371"
"1992-11-30","1992Nov","3.7961"
"1992-12-31","1992Dec","3.6369"
"1993-01-31","1993Jan","3.3469"
"1993-02-28","1993Feb","3.2387"
"1993-03-31","1993Mar","3.2401"
"1993-04-30","1993Apr","3.2266"
"1993-05-31","1993May","3.2434"
"1993-06-30","1993Jun","3.3377"
"1993-07-31","1993Jul","3.2940"
"1993-08-31","1993Aug","3.2619"
"1993-09-30","1993Sep","3.2102"
"1993-10-31","1993Oct","3.3869"
"1993-11-30","1993Nov","3.4886"
"1993-12-31","1993Dec","3.3735"
"1994-01-31","1994Jan","3.2719"
"1994-02-28","1994Feb","3.5531"
"1994-03-31","1994Mar","3.8774"
"1994-04-30","1994Apr","4.1316"
"1994-05-31","1994May","4.6335"
"1994-06-30","1994Jun","4.6371"
"1994-07-31","1994Jul","4.8583"
"1994-08-31","1994Aug","4.9212"
"1994-09-30","1994Sep","5.1278"
"1994-10-31","1994Oct","5.6224"
"1994-11-30","1994Nov","5.8810"
"1994-12-31","1994Dec","6.3835"
"1995-01-31","1995Jan","6.3448"
"1995-02-28","1995Feb","6.2617"
"1995-03-31","1995Mar","6.2687"
"1995-04-30","1995Apr","6.2375"
"1995-05-31","1995May","6.1250"
"1995-06-30","1995Jun","6.0059"
"1995-07-31","1995Jul","5.8979"
"1995-08-31","1995Aug","5.9020"
"1995-09-30","1995Sep","5.8642"
"1995-10-31","1995Oct","5.9375"
"1995-11-30","1995Nov","5.8775"
"1995-12-31","1995Dec","5.7571"
"1996-01-31","1996Jan","5.5428"
"1996-02-29","1996Feb","5.2751"
"1996-03-31","1996Mar","5.3942"
"1996-04-30","1996Apr","5.4913"
"1996-05-31","1996May","5.4978"
"1996-06-30","1996Jun","5.5697"
"1996-07-31","1996Jul","5.6403"
"1996-08-31","1996Aug","5.5254"
"1996-09-30","1996Sep","5.6177"
"1996-10-31","1996Oct","5.5448"
"1996-11-30","1996Nov","5.5000"
"1996-12-31","1996Dec","5.5556"
"1997-01-31","1997Jan","5.5653"
"1997-02-28","1997Feb","5.5102"
"1997-03-31","1997Mar","5.6388"
"1997-04-30","1997Apr","5.8301"
"1997-05-31","1997May","5.8185"
"1997-06-30","1997Jun","5.7945"
"1997-07-31","1997Jul","5.7451"
"1997-08-31","1997Aug","5.7251"
"1997-09-30","1997Sep","5.7239"
"1997-10-31","1997Oct","5.7665"
"1997-11-30","1997Nov","5.8406"
"1997-12-31","1997Dec","5.9068"
"1998-01-31","1998Jan","5.6496"
"1998-02-28","1998Feb","5.6336"
"1998-03-31","1998Mar","5.6880"
"1998-04-30","1998Apr","5.6863"
"1998-05-31","1998May","5.6922"
"1998-06-30","1998Jun","5.6895"
"1998-07-31","1998Jul","5.6889"
"1998-08-31","1998Aug","5.6815"
"1998-09-30","1998Sep","5.4954"
"1998-10-31","1998Oct","5.2731"
"1998-11-30","1998Nov","5.3232"
"1998-12-31","1998Dec","5.2276"
"1999-01-31","1999Jan","5.0041"
"1999-02-28","1999Feb","4.9960"
